Название ;Автор(ы) (Фамилия Имя Отчество);Год издания ;Цена;Отделение;Жанр(ы);Количество;Издательство;Стеллаж(и);
Статистика современного русского языка и культура речи;Г.Я. Солганик, Т.С. Дроняева;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Русский язык и культура речи;Л. А. Введенская, Л. Г. Павлова, Е. Ю. Кашаева;2005;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Стилистика и литературное редактирование;В.И. Максимова;2004;NULL;Общеобразовательное;Общеобразовательное;2;Москва, Гардарики;1;
Русский язык и культура речи;Л.А. Введенская, М.Н.Черкасова;2016;NULL;Общеобразовательное;Общеобразовательное;3;Ростов-на-дону, Феникс;1;
Русский язык и культура речи;В.И. Максимова;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Гардарики;1;
Культура речи;Л.А. Введенская;2001;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Стилистика и литературное редактирование;Н.П. Колесников;2003;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Ростов-на-дону;1;
Русский язык сборник текстов;Т.М. Пахнова;2000;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Дрофа;1;
Сборник упражнений и текстовых заданий по культуре речи;В.Д. Черняк;2006;NULL;Общеобразовательное;Общеобразовательное;1;Санкт Петербург, Москва, Сага, Форум;1;
Риторика культура речи;М.Р. Львов;2002;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Русский язык и культура речи;Е.В. Ганапольский, А.В. Хохлова;2005;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Санкт Петербург, Воронеж, Ниэжний Новгород, Ростов на дону, Екатеринбург, Самара, Новосибирск, Киев, Харьков, Минск;1;
Основы теории речи;М.Р. Львов;2000;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Академ-а;1;
Стилистика русского языка;И.Б. Голуб;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Айрис Пресс;1;
Русский языык и культура речи;Н.А. Ипполитова, О.Ю. Князева, М.Р. Савова;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Проспект;1;
Стилистика текста;М.П. Брандес;2004;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Прогресс, традиция;1;
Русский язык культура речи;Л.А. Введенская, М.Н.Черкасова;2012;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Русский язык и культура речи;Л.А. Введенская, Л.Г. Павлова, Е.Ю. Кашева;2009;NULL;Общеобразовательное;Общеобразовательное;1;Ростов-на-дону, Феникс;1;
Упражнения по стилистике русского языка;И.Б. Голуб;2001;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Рольф;1;
Культура речи;Л.А. Введенская;2002;NULL;Общеобразовательное;Общеобразовательное;1;Фениск;1;
Русский язык и культура речи;Л.А. Введенская, Л.Г. Павлова, Е.Ю. Кашева;2005;NULL;Общеобразовательное;Общеобразовательное;1;Фениск;1;
Русский язык;Е.С. Антонова, Т.М. Воителева;2013;NULL;Общеобразовательное;Общеобразовательное;16;Академ-а;1;
Русский язык ;В.Ф. Греков, С.Е. Крючков, Л.А. Чешко;2012;NULL;Общеобразовательное;Общеобразовательное;12;Просвещение;1;
Русский язык;Т.М. Воителева;2012;NULL;Общеобразовательное;Общеобразовательное;1;Академ-а;1;
Все произведения школьной программы в кратком изложении;И.О. Родин;2006;NULL;Общеобразовательное;Общеобразовательное;1;Астрель;1;
Русский язык;Т.М. Воителева;2012;NULL;Общеобразовательное;Общеобразовательное;1;Академ-а;1;
Литературное редактирование;К.М. Накорякова;2004;NULL;Общеобразовательное;Общеобразовательное;1;Икар;1;
Русский язык и культура речи;В.Д. Черняк;2004;NULL;Общеобразовательное;Общеобразовательное;1;Высшая школа;1;
Пособие для занятий по русскому языку;В.Ф. Греков, С.Е. Крючков, Л.А. Чешко;2004;NULL;Общеобразовательное;Общеобразовательное;2;Высшая школа;1;
Конспект лекций по литературному редактированию;И.Б. Голуб;2004;NULL;Общеобразовательное;Общеобразовательное;2;Айрис Пресс;1;
Русский язык ;Н.Г. Гольцова, И.В. Шамин;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва Русское слово;1;
Русский язык;Л.А. Введенская, М.Ю. Семенова;2006;NULL;Общеобразовательное;Общеобразовательное;1;Москва, Ростов-на-дону;1;
Правильно оформляем реферат, курсовую, диплом на компьютере;Ф.В.Круглов,А. С. Куприянова ;2008;NULL;Общеобразовательное;Общеобразовательное;1;Наука и техника;1;
Русский язык ;Г.В. Цветкова;2012;NULL;Общеобразовательное;Общеобразовательное;1;Волгоград;1;
Поурочные разработки по русскому языку;Н.В. Егорова;2013;NULL;Общеобразовательное;Общеобразовательное;1;Москва Вако;1;
